==================================================
File Count: 865,948
--------------------------------------------------
Extension Count: 284
--------------------------------------------------
Full response received 7.61 seconds.
--------------------------------------------------
[1    ]: .py                           : 221,474
[2    ]: .pyc                          : 220,556
[3    ]: .jpg                          : 205,538
[4    ]: .h                            : 79,209
[5    ]: .pyi                          : 45,202
[6    ]: [NO_EXTENSION]                : 39,995
[7    ]: .js                           : 6,228
[8    ]: .txt                          : 4,830
[9    ]: .pyd                          : 4,299
[10   ]: .typed                        : 2,033
[11   ]: .dll                          : 1,695
[12   ]: .xml                          : 1,651
[13   ]: .lib                          : 1,509
[14   ]: .hpp                          : 1,505
[15   ]: .exe                          : 1,455
[16   ]: .f90                          : 1,288
[17   ]: .dat                          : 1,276
[18   ]: .json                         : 1,216
[19   ]: .inc                          : 1,184
[20   ]: ._                            : 1,066
[21   ]: .pxd                          : 967
[22   ]: .cs                           : 951
[23   ]: .png                          : 901
[24   ]: .csv                          : 812
[25   ]: .marisa                       : 799
[26   ]: .a                            : 798
[27   ]: .mat                          : 769
[28   ]: .pyx                          : 735
[29   ]: .gz                           : 704
[30   ]: .cpp                          : 649
[31   ]: .html                         : 598
[32   ]: .f                            : 510
[33   ]: .gif                          : 472
[34   ]: .c                            : 462
[35   ]: .sample                       : 448
[36   ]: .md                           : 411
[37   ]: .cuh                          : 386
[38   ]: .css                          : 368
[39   ]: .map                          : 361
[40   ]: .pxi                          : 357
[41   ]: .npy                          : 336
[42   ]: .sav                          : 329
[43   ]: .cshtml                       : 320
[44   ]: .proto                        : 315
[45   ]: .htm                          : 301
[46   ]: .doctest                      : 295
[47   ]: .ttf                          : 291
[48   ]: .cache                        : 253
[49   ]: .pdb                          : 252
[50   ]: .afm                          : 240
[51   ]: .testcase                     : 234
[52   ]: .cmake                        : 234
[53   ]: .cfg                          : 207
[54   ]: .npz                          : 200
[55   ]: .woff2                        : 199
[56   ]: .wav                          : 197
[57   ]: .cc                           : 195
[58   ]: .resources                    : 188
[59   ]: .rst                          : 175
[60   ]: .resx                         : 174
[61   ]: .build                        : 161
[62   ]: .svg                          : 143
[63   ]: .pyf                          : 138
[64   ]: .pkl                          : 130
[65   ]: .al                           : 128
[66   ]: .nupkg                        : 127
[67   ]: .woff                         : 124
[68   ]: .bat                          : 115
[69   ]: .mplstyle                     : 113
[70   ]: .arff                         : 112
[71   ]: .sh                           : 108
[72   ]: .xsl                          : 107
[73   ]: .pdf                          : 106
[74   ]: .bz2                          : 101
[75   ]: .asp                          : 100
[76   ]: .pys                          : 100
[77   ]: .tp                           : 96
[78   ]: .tab                          : 92
[79   ]: .ps1                          : 89
[80   ]: .pem                          : 82
[81   ]: .ini                          : 82
[82   ]: .hash                         : 80
[83   ]: .1                            : 79
[84   ]: .tpl                          : 77
[85   ]: .ipynb                        : 73
[86   ]: .vsidx                        : 72
[87   ]: .bmp                          : 70
[88   ]: .config                       : 69
[89   ]: .bin                          : 69
[90   ]: .tt                           : 67
